500 1 
0 0 1
1 0 1
2 0 2
3 0 2
4 0 3
5 0 3
6 0 2
7 0 3
8 0 2
9 0 3
10 0 2
11 0 4
12 0 4
13 0 4
14 0 3
15 0 0
16 0 1
17 0 2
18 0 2
19 0 4
20 0 4
21 0 4
22 0 1
23 0 2
24 0 2
25 0 2
26 0 0
27 0 4
28 0 3
29 0 3
30 0 0
31 0 0
32 0 0
33 0 2
34 0 3
35 0 3
36 0 1
37 0 1
38 0 2
39 0 3
40 0 4
41 0 4
42 0 2
43 0 4
44 0 3
45 0 1
46 0 4
47 0 4
48 0 4
49 0 1
50 0 4
51 0 3
52 0 1
53 0 0
54 0 1
55 0 3
56 0 3
57 0 2
58 0 3
59 0 2
60 0 0
61 0 3
62 0 3
63 0 1
64 0 1
65 0 1
66 0 0
67 0 2
68 0 2
69 0 2
70 0 0
71 0 1
72 0 2
73 0 3
74 0 1
75 0 1
76 0 4
77 0 0
78 0 1
79 0 4
80 0 1
81 0 0
82 0 3
83 0 3
84 0 1
85 0 4
86 0 2
87 0 0
88 0 1
89 0 0
90 0 2
91 0 2
92 0 3
93 0 0
94 0 3
95 0 0
96 0 2
97 0 4
98 0 3
99 0 4
100 0 1
101 0 3
102 0 1
103 0 4
104 0 2
105 0 2
106 0 0
107 0 2
108 0 3
109 0 1
110 0 1
111 0 0
112 0 2
113 0 4
114 0 3
115 0 4
116 0 4
117 0 0
118 0 4
119 0 1
120 0 0
121 0 2
122 0 3
123 0 4
124 0 3
125 0 2
126 0 0
127 0 0
128 0 1
129 0 3
130 0 0
131 0 3
132 0 1
133 0 2
134 0 2
135 0 4
136 0 4
137 0 3
138 0 2
139 0 3
140 0 0
141 0 3
142 0 3
143 0 3
144 0 3
145 0 1
146 0 2
147 0 3
148 0 2
149 0 2
150 0 4
151 0 3
152 0 4
153 0 3
154 0 2
155 0 2
156 0 0
157 0 2
158 0 3
159 0 2
160 0 0
161 0 3
162 0 0
163 0 2
164 0 0
165 0 3
166 0 2
167 0 0
168 0 2
169 0 4
170 0 3
171 0 2
172 0 3
173 0 2
174 0 0
175 0 2
176 0 4
177 0 3
178 0 0
179 0 1
180 0 0
181 0 0
182 0 0
183 0 0
184 0 3
185 0 2
186 0 2
187 0 3
188 0 0
189 0 1
190 0 1
191 0 1
192 0 4
193 0 2
194 0 4
195 0 0
196 0 0
197 0 1
198 0 1
199 0 2
200 0 1
201 0 0
202 0 0
203 0 4
204 0 2
205 0 1
206 0 2
207 0 1
208 0 4
209 0 3
210 0 3
211 0 4
212 0 3
213 0 3
214 0 4
215 0 1
216 0 1
217 0 2
218 0 0
219 0 2
220 0 3
221 0 1
222 0 3
223 0 3
224 0 4
225 0 3
226 0 4
227 0 0
228 0 0
229 0 1
230 0 3
231 0 1
232 0 1
233 0 3
234 0 1
235 0 4
236 0 4
237 0 3
238 0 1
239 0 3
240 0 1
241 0 4
242 0 3
243 0 0
244 0 3
245 0 3
246 0 1
247 0 0
248 0 0
249 0 2
250 0 2
251 0 4
252 0 3
253 0 1
254 0 3
255 0 3
256 0 4
257 0 3
258 0 3
259 0 4
260 0 4
261 0 1
262 0 1
263 0 0
264 0 4
265 0 2
266 0 0
267 0 4
268 0 1
269 0 1
270 0 3
271 0 3
272 0 1
273 0 1
274 0 3
275 0 4
276 0 0
277 0 0
278 0 0
279 0 1
280 0 2
281 0 2
282 0 0
283 0 1
284 0 4
285 0 4
286 0 4
287 0 3
288 0 2
289 0 2
290 0 3
291 0 2
292 0 3
293 0 0
294 0 2
295 0 3
296 0 2
297 0 2
298 0 2
299 0 4
300 0 4
301 0 0
302 0 2
303 0 0
304 0 2
305 0 0
306 0 0
307 0 2
308 0 1
309 0 0
310 0 3
311 0 3
312 0 2
313 0 4
314 0 4
315 0 1
316 0 4
317 0 3
318 0 0
319 0 1
320 0 0
321 0 4
322 0 3
323 0 4
324 0 4
325 0 1
326 0 2
327 0 2
328 0 4
329 0 4
330 0 1
331 0 3
332 0 4
333 0 4
334 0 4
335 0 2
336 0 0
337 0 4
338 0 4
339 0 1
340 0 4
341 0 2
342 0 4
343 0 2
344 0 2
345 0 4
346 0 4
347 0 1
348 0 2
349 0 0
350 0 3
351 0 3
352 0 4
353 0 2
354 0 2
355 0 4
356 0 3
357 0 0
358 0 2
359 0 3
360 0 4
361 0 4
362 0 2
363 0 4
364 0 3
365 0 1
366 0 1
367 0 4
368 0 0
369 0 0
370 0 0
371 0 0
372 0 3
373 0 0
374 0 2
375 0 1
376 0 4
377 0 1
378 0 2
379 0 2
380 0 1
381 0 1
382 0 1
383 0 1
384 0 3
385 0 3
386 0 1
387 0 2
388 0 3
389 0 3
390 0 1
391 0 3
392 0 2
393 0 3
394 0 2
395 0 1
396 0 0
397 0 4
398 0 0
399 0 0
400 0 4
401 0 1
402 0 0
403 0 3
404 0 2
405 0 2
406 0 0
407 0 1
408 0 4
409 0 2
410 0 4
411 0 0
412 0 4
413 0 0
414 0 1
415 0 2
416 0 4
417 0 2
